0,1,2,3,4,5
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,SERIE B 2017
VIII-ANIMAUX D'ELEVAGE (2/4),,,,,
,,,,E S P E C E      O V I N E,
WILAYA,Brebis,Béliers,Antenaises,Antenais                          Agneaux,Agnelles            TOTAL
,,,(10 à 18  mois),(10 à 18  mois) -10 mois,-  10 mois
1 ADRAR,170 816,48 829,57 462,70 573 67 574,58 975 474 229
2 CHLEF,121 050,9 712,34 355,33 013 26 115,33 055 257 300
3 LAGHOUAT,1 571 900,58 325,56 062,20 222 88 171,187 120 1 981 800
4 O.E.BOUAGHI,367 881,14 206,40 953,30 755 61 289,74 677 589 761
5 BATNA,622 955,34 663,136 929,78 915 105 588,153 262 1 132 312
6 BEJAIA,37 461,5 197,12 466,13 592 14 950,13 872 97 538
7 BISKRA,674 789,50 726,66 261,50 717 71 462,142 545 1 056 500
8 BECHAR,196 791,10 738,15 328,10 738 9 784,15 396 258 775
9 BLIDA,13 639,2 654,2 900,2 526 2 441,2 114 26 274
10 BOUIRA,152 860,13 730,29 670,40 468 26 603,29 022 292 353
11 TAMANRASSET,94 815,7 520,2 494,1 782 1 068,1 608 109 287
12 TEBESSA,560 000,31 111,41 000,27 600 114 289,146 000 920 000
13 TLEMCEN,595 000,14 179,26 737,19 285 23 150,21 649 700 000
14 TIARET,1 677 005,67 983,171 258,93 481 128 768,162 261 2 300 756
15 TIZI-OUZOU,47 051,6 730,13 283,14 104 17 675,17 505 116 348
16 ALGER,7 490,787,1 921,1 878 2 041,1 695 15 812
17 DJELFA,2 308 700,77 500,224 200,200 800 306 700,261 600 3 379 500
18 JIJEL,39 107,3 525,5 799,6 472 5 988,6 064 66 955
19 SETIF,278 181,16 139,52 480,42 322 45 672,51 572 486 366
20 SAIDA,668 484,28 991,54 617,27 360 51 374,59 047 889 873
21 SKIKDA,102 858,14 311,42 346,32 199 22 319,32 130 246 163
22 S.B.ABBES,553 551,27 026,77 422,61 945 54 711,50 345 825 000
23 ANNABA,21 195,3 557,5 130,4 896 7 581,7 291 49 650
24 GUELMA,263 666,13 759,36 207,52 485 58 444,74 557 499 118
25 CONSTANTINE,116 439,2 771,15 881,12 499 12 446,10 183 170 219
26 MEDEA,368 590,46 309,136 263,111 301 92 063,100 606 855 132
27 MOSTAGANEM,107 030,7 940,32 940,16 140 19 645,35 265 218 960
28 M'SILA,1 060 000,29 100,128 500,120 000 122 800,139 600 1 600 000
29 MASCARA,308 800,22 000,82 500,85 000 119 500,112 200 730 000
30 OUARGLA,69 108,10 516,12 681,7 764 20 268,28 144 148 481
31 ORAN,107 164,6 343,13 024,14 438 11 300,8 514 160 783
32 EL-BAYADH,1 271 442,111 528,223 066,267 665 200 760,156 138 2 230 600
33 ILLIZI,18 307,15 234,0,0 2 166,2 889 38 596
34 B.B.ARRERIDJ,218 769,11 492,31 336,20 574 39 016,45 337 366 524
35 BOUMERDES,18 829,6 849,4 698,4 389 5 491,4 512 44 768
36 EL-TARF,89 150,6 680,15 745,13 330 8 303,10 132 143 340
37 TINDOUF,22 947,1 605,3 569,2 762 3 673,5 007 39 563
38 TISSEMSILT,155 000,8 800,13 004,27 601 15 731,21 864 242 000
39 EL-OUED,329 800,16 490,111 067,129 576 74 039,55 528 716 500
40 KHENCHELA,300 825,12 059,28 292,29 937 28 857,38 759 438 729
41 SOUK-AHRAS,198 184,9 550,46 516,31 013 70 301,77 074 432 638
42 TIPAZA,23 589,5 584,5 232,5 341 7 297,7 293 54 336
43 MILA,178 947,23 001,29 931,26 966 27 492,28 494 314 831
44 AIN-DEFLA,99 943,20 305,26 555,23 973 28 457,30 975 230 208
45 NAAMA,987 462,42 448,86 086,72 661 134 561,150 611 1 473 829
46 A.TEMOUCHENT,102 539,7 487,15 160,15 852 16 394,18 400 175 832
47 GHARDAIA,173 000,18 740,38 830,35 510 45 085,50 835 362 000
48 RELIZANE,236 479,30 518,42 975,41 264 43 693,39 134 434 063
TOTAL ALGERIE,17 709 588,1 035 247,2 351 131,2 053 684 2 463 095,2 780 856 28 393 602
Antenaise: femelle âgée de + 9 mois n'ayant pas encore agnelé (mis-bas),,,,,
