0,1,2,3,4,5,6,7,8,9
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,,,,SERIE B 2017
VII-CULTURES MARAICHERES SOUS SERRES (2/4),,,,,,,,,
,,CONCOMBRES,,,AUBERGINES,,,HARICOTS VERTS,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(QX),qx/ha,(ha),(QX),qx/ha,(ha),(qx),qx/ha
1 ADRAR,"50,96",38 250,"750,6","1,70",765,"450,0","2,30",368,"160,0"
2 CHLEF,"25,44",23 110,"908,4","0,00",0,0,"1,50",90,"60,0"
3 LAGHOUAT,,,0,,,0,,,0
4 O.E.BOUAGHI,"0,00",0,0,"0,00",0,0,"0,00",0,0
5 BATNA,"0,56",990,"1 767,9","0,00",0,0,"0,00",0,0
6 BEJAIA,"5,67",5 845,"1 030,9","0,00",0,0,"9,00",665,"73,9"
7 BISKRA,"262,00",237 100,"905,0","408,00",272 280,"667,4","0,00",0,0
8 BECHAR,"0,32",384,"1 200,0","0,04",80,"2 000,0","0,00",0,0
9 BLIDA,"10,00",6 750,"675,0","20,00",10 275,"513,8","4,00",320,"80,0"
10 BOUIRA,,,0,,,0,,,0
11 TAMANRASSET,"0,00",0,0,"1,49",615,"412,8","0,00",0,0
12 TEBESSA,"0,00",0,0,"0,00",0,0,"0,00",0,0
13 TLEMCEN,"50,00",42 500,"850,0","0,00",0,0,"2,00",1 000,"500,0"
14 TIARET,"0,00",0,0,"0,00",0,0,"0,00",0,0
15 TIZI-OUZOU,"0,20",184,"920,0","0,00",0,0,"0,04",10,"250,0"
16 ALGER,"11,64",10 675,"917,1","11,24",4 650,"413,7","4,20",425,"101,2"
17 DJELFA,"0,25",200,"800,0","0,00",0,0,"0,00",0,0
18 JIJEL,"46,00",60 188,"1 308,4","16,16",8 200,"507,4","23,59",4 244,"179,9"
19 SETIF,"94,00",117 720,"1 252,3","0,00",0,0,"3,00",300,"100,0"
20 SAIDA,"0,00",0,0,"0,00",0,0,"0,00",0,0
21 SKIKDA,"3,74",1 905,"509,4","5,32",2 192,"412,0","0,04",15,"375,0"
22 S.B.ABBES,"0,00",0,0,"0,00",0,0,"0,00",0,0
23 ANNABA,"0,00",0,0,"0,00",0,0,"0,00",0,0
24 GUELMA,,,0,,,0,,,0
25 CONSTANTINE,"0,00",0,0,"0,00",0,0,"0,00",0,0
26 MEDEA,,,0,,,0,,,0
27 MOSTAGANEM,"35,70",31 235,"874,9","72,80",36 119,"496,1","23,75",8 467,"356,5"
28 M'SILA,"6,00",4 800,"800,0","21,00",14 700,"700,0","0,00",0,0
29 MASCARA,,,0,,,0,,,0
30 OUARGLA,"7,79",2 389,"306,7","1,54",557,"361,7","0,00",0,0
31 ORAN,"0,44",99,"225,0","0,28",28,"100,0",,,0
32 EL-BAYADH,,,0,,,0,,,0
33 ILLIZI,"0,01",3,"265,0","0,00",0,0,"0,00",0,0
34 B.B.ARRERIDJ,"0,00",0,0,"0,00",0,0,"0,00",0,0
35 BOUMERDES,"12,00",10 200,"850,0","23,00",9 200,"400,0","14,00",2 660,"190,0"
36 EL-TARF,"0,00",0,0,"0,00",0,0,"0,12",84,"700,0"
37 TINDOUF,"0,32",256,"800,0","1,10",440,"400,0","0,08",32,"400,0"
38 TISSEMSILT,,,0,,,0,,,0
39 EL-OUED,"6,00",6 000,"1 000,0","0,12",24,"200,0","3,88",780,"201,0"
40 KHENCHELA,"0,25",38,"150,0","10,00",4 000,"400,0","0,00",0,0
41 SOUK-AHRAS,"0,00",0,0,"0,00",0,0,"0,00",0,0
42 TIPAZA,"316,48",268 046,"847,0","37,21",16 235,"436,3","157,10",8 869,"56,5"
43 MILA,"0,00",0,0,"0,12",84,"700,0","0,00",0,0
44 AIN-DEFLA,"70,00",37 250,"532,1","0,00",0,0,"18,00",3 880,"215,6"
45 NAAMA,,,0,,,0,,,0
46 A.TEMOUCHENT,"6,76",3 277,"484,8","3,10",1 175,"379,0","1,24",198,"159,7"
47 GHARDAIA,"0,00",0,0,"0,00",0,0,"0,00",0,0
48 RELIZANE,"0,00",0,0,"0,00",0,0,"0,00",0,0
TOTAL ALGERIE,"1 022,53",909 393,"889,4","634,22",381 619,"601,7","267,84",32 407,"121,0"
