0,1,2,3,4,5,6,7,8,9,10,11,12
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,,,,,,SERIE B 2016
SUPERFICIE OCCUPEES PAR LES PLANTATIONS (Vigne non comprise),,,,,,,,,,,,
WILAYA,OLIVIERS,,PALMIERS,,AGRUMES,,FIGUIERS,,ESPECES A,,SUPERFICIE,
,,,DATTIERS,,,,,,NOYAUX ET /,,TOTALE,
,,,,,,,,,OU A PEPINS,,,
,ha,%,ha,%,ha,%,ha,%,ha,%,ha,%
1 ADRAR,0,"0,0",28 327,"100,0",0,"0,0",0,"0,0",0,"0,0",28 327,100
2 CHLEF,4 306,"29,0",0,"0,0",5 957,"40,1",1 222,"8,2",3 375,"22,7",14 860,100
3 LAGHOUAT,2 042,"32,6",282,"4,5",11,"0,2",201,"3,2",3 720,"59,5",6 256,100
4 O.E.BOUAGHI,1 918,"63,3",0,0,0,"0,0",48,"1,6",1 064,"35,1",3 030,100
5 BATNA,11 054,"50,3",208,"0,9",0,"0,0",188,"0,9",10 537,"47,9",21 985,100
6 BEJAIA,55 518,"77,4",0,"0,0",2 002,"2,8",10 250,"14,3",3 942,"5,5",71 712,100
7 BISKRA,4 273,"8,1",43 105,"82,1",82,"0,2",1 409,"2,7",3 624,"6,9",52 493,100
8 BECHAR,1 337,"8,3",14 074,"87,9",44,"0,3",58,"0,4",496,"3,1",16 009,100
9 BLIDA,1 282,"4,7",0,"0,0",16 315,"59,3",669,"2,4",9 267,"33,7",27 534,100
10 BOUIRA,35 809,"84,8",0,"0,0",476,"1,1",1 897,"4,5",4 031,"9,5",42 213,100
11 TAMANRASSET,174,"2,2",7 003,"87,0",165,"2,1",65,"0,8",646,"8,0",8 053,100
12 TEBESSA,8 862,"71,5",816,"6,6",0,"0,0",223,"1,8",2 496,"20,1",12 397,100
13 TLEMCEN,15 312,"40,3",0,"0,0",2 568,"6,8",376,"1,0",19 733,"51,9",37 989,100
14 TIARET,8 241,"33,6",0,"0,0",0,"0,0",1 090,"4,4",15 186,"61,9",24 517,100
15 TIZI-OUZOU,36 290,"76,4",0,"0,0",1 443,"3,0",5 972,"12,6",3 767,"7,9",47 472,100
16 ALGER,93,"0,9",0,"0,0",5 722,"52,5",58,"0,5",5 016,"46,1",10 890,100
17 DJELFA,10 904,"59,1",101,"0,5",0,"0,0",216,"1,2",7 243,"39,2",18 464,100
18 JIJEL,15 476,"82,9",0,"0,0",438,"2,3",107,"0,6",2 657,"14,2",18 677,100
19 SETIF,22 817,"63,1",0,"0,0",0,"0,0",5 044,"13,9",8 318,"23,0",36 180,100
20 SAIDA,4 715,"68,3",0,"0,0",0,"0,0",114,"1,6",2 080,"30,1",6 909,100
21 SKIKDA,10 872,"52,2",0,"0,0",2 803,"13,5",533,"2,6",6 624,"31,8",20 833,100
22 S.B.ABBES,7 645,"50,6",0,"0,0",0,"0,0",259,"1,7",7 191,"47,6",15 095,100
23 ANNABA,851,"35,4",0,"0,0",598,"24,9",49,"2,0",905,"37,7",2 402,100
24 GUELMA,9 443,"72,2",0,"0,0",833,"6,4",174,"1,3",2 637,"20,2",13 087,100
25 CONSTANTINE,1 106,"45,2",0,"0,0",0,"0,0",44,"1,8",1 299,"53,1",2 449,100
26 MEDEA,9 311,"34,7",0,"0,0",37,"0,1",1 272,"4,7",16 247,"60,5",26 867,100
