0,1,2,3,4,5
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,SERIE B 2017
VIII-ANIMAUX D'ELEVAGE (4/4),,,,,
,,E S P E C E     C H E V A L I N E,,ESPECE,ESPECE
WILAYA,Adultes,Jeunes  -2ans,TOTAL,MULASSIERE,ASINE
1 ADRAR,0,0,0,0,5 566
2 CHLEF,496,273,769,2 789,3 387
3 LAGHOUAT,3 005,1 480,4 485,352,3 482
4 O.E.BOUAGHI,572,133,705,55,1 130
5 BATNA,588,341,929,314,1 093
6 BEJAIA,74,7,81,131,1 316
7 BISKRA,267,88,355,90,481
8 BECHAR,56,4,60,26,86
9 BLIDA,427,318,745,81,195
10 BOUIRA,108,24,132,269,1 763
11 TAMANRASSET,4,0,4,0,0
12 TEBESSA,318,109,427,0,0
13 TLEMCEN,1 272,406,1 678,598,2 470
14 TIARET,4 380,1 879,6 259,307,1 625
15 TIZI-OUZOU,127,9,136,136,3 244
16 ALGER,756,108,864,20,59
17 DJELFA,810,160,970,190,780
18 JIJEL,42,4,46,65,795
19 SETIF,896,440,1 336,896,6 206
20 SAIDA,1 303,917,2 220,539,1 186
21 SKIKDA,517,204,721,1 477,8 185
22 S.B.ABBES,1 756,1 195,2 951,482,2 804
23 ANNABA,239,152,391,378,1 084
24 GUELMA,407,252,659,616,2 021
25 CONSTANTINE,164,67,231,70,280
26 MEDEA,420,145,565,246,2 933
27 MOSTAGANEM,1 858,602,2 460,1 615,8 425
28 M'SILA,1 350,330,1 680,250,1 800
29 MASCARA,2 540,880,3 420,1 800,4 180
30 OUARGLA,366,32,398,527,4 203
31 ORAN,414,170,584,10,205
32 EL-BAYADH,1 204,416,1 620,230,1 475
33 ILLIZI,0,0,0,0,0
34 B.B.ARRERIDJ,1 085,261,1 346,355,3 412
35 BOUMERDES,186,45,231,90,663
36 EL-TARF,508,166,674,71,2 255
37 TINDOUF,0,0,0,0,0
38 TISSEMSILT,317,60,377,106,1 319
39 EL-OUED,616,111,727,580,2 400
40 KHENCHELA,165,81,246,48,505
41 SOUK-AHRAS,404,187,591,764,2 557
42 TIPAZA,27,9,36,0,0
43 MILA,449,214,663,48,864
44 AIN-DEFLA,397,109,506,1 009,2 919
45 NAAMA,1 045,269,1 314,744,2 383
46 A.TEMOUCHENT,597,150,747,241,620
47 GHARDAIA,338,122,460,0,405
48 RELIZANE,802,240,1 042,632,2 415
TOTAL ALGERIE,33 672,13 169,46 841,19 247,95 176
