0,1,2,3,4,5
,Superficie,Deglet nour,Ghers  et,Degla Beida et,Total
WILAYA,occupée,(Dattes fines),Analogues,Analogues,Palmier-dattier
,,,(Dattes molles),(Dattes  sèches),
,ha,Nbre d'arbre,Nbre d'arbre,Nbre d'arbre,Nbre d'arbre
1 ADRAR,28 327,0,0,3 798 965,3 798 965
3 LAGHOUAT,282,9 304,12 960,11 412,33 676
5 BATNA,208,9 068,7 603,9 821,26 492
7 BISKRA,43 105,2 678 167,561 107,1 097 084,4 336 358
8 BECHAR,14 074,0,1 404 938,234 924,1 639 862
11 TAMANRASSET,7 003,0,688 947,0,688 947
12 TEBESSA,816,39 400,22 400,0,61 800
17 DJELFA,101,6 800,2 500,800,10 100
28 M'SILA,0,0,0,0,0
30 OUARGLA,22 094,1 411 334,1 006 726,172 125,2 590 185
32 EL-BAYADH,477,3 600,15 900,28 200,47 700
33 ILLIZI,1 254,7 758,77 585,43 760,129 103
37 TINDOUF,434,0,45 206,0,45 206
39 EL-OUED,37 070,2 476 350,724 500,634 780,3 835 630
40 KHENCHELA,790,51 200,68 100,11 542,130 842
45 NAAMA,236,4 650,39 250,0,43 900
47 GHARDAIA,11 009,541 250,229 600,491 660,1 262 510
TOTAL ALGERIE,167 279,7 238 881,4 907 322,6 535 073,18 681 276
