0,1,2,3,4,5
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,SERIE B 2019
"III)- OLIVIERS, OLIVES ET HUILES 1/2",,,,,
Oliviers cultivés (plantés ou greffés) et olivier en rapport,,,,,
,Superficie occupée,Oliviers en masse,Oliviers isolés,Total olivier,Oliviers en rapport
,,,,complanté,
WILAYA,(ha),(Nbre d'arbre,(Nbre d'arbre,(Nbre d'arbre,(Nbre) arbres
1 ADRAR,0,0,0,0,0
2 CHLEF,4 718,866 184,47 200,913 384,625 124
3 LAGHOUAT,2 277,498 510,25 695,524 205,216 400
4 O.E.BOUAGHI,2 073,284 409,570,284 979,155 845
5 BATNA,11 855,2 325 373,103 622,2 428 995,1 753 385
6 BEJAIA,57 614,4 713 434,498 965,5 212 399,4 442 786
7 BISKRA,4 569,1 091 770,126 760,1 218 530,676 915
8 BECHAR,1 650,347 117,101 576,448 693,160 940
9 BLIDA,1 230,167 116,111 484,278 600,270 000
10 BOUIRA,37 309,3 496 025,292 456,3 788 481,2 698 785
11 TAMANRASSET,0,0,0,0,0
12 TEBESSA,9 534,1 775 706,17 000,1 792 706,1 009 555
13 TLEMCEN,15 546,1 994 876,160 995,2 155 871,2 140 000
14 TIARET,4 597,782 276,26 925,809 201,608 190
15 TIZI-OUZOU,38 828,4 085 944,329 319,4 415 263,3 358 878
16 ALGER,190,59 426,51 097,110 523,38 742
17 DJELFA,11 329,3 193 200,27 100,3 220 300,2 451 000
18 JIJEL,16 603,2 184 251,364 566,2 548 817,2 107 441
19 SETIF,23 611,2 386 361,363 020,2 749 381,2 295 355
20 SAIDA,5 597,1 359 534,22 750,1 382 284,719 304
21 SKIKDA,11 833,1 225 859,363 245,1 589 104,1 309 841
22 S.B.ABBES,8 781,906 486,239 300,1 145 786,573 100
23 ANNABA,969,100 746,32 816,133 562,76 778
24 GUELMA,9 531,670 646,315 336,985 982,514 832
25 CONSTANTINE,672,146 164,17 220,163 384,138 460
26 MEDEA,8 814,916 593,92 218,1 008 811,379 913
27 MOSTAGANEM,8 142,451 840,448 211,900 051,864 150
28 M'SILA,10 442,1 926 450,75 000,2 001 450,1 420 100
29 MASCARA,16 186,1 926 245,155 475,2 081 720,1 487 940
30 OUARGLA,1 269,354 702,54 124,408 826,49 134
31 ORAN,7 400,1 369 660,108 813,1 478 473,1 041 440
32 EL-BAYADH,1 191,321 750,54 265,376 015,165 605
33 ILLIZI,137,18 987,0,18 987,4 314
34 B.B.ARRERIDJ,26 319,2 418 950,84 705,2 503 655,1 764 112
35 BOUMERDES,8 346,774 980,187 763,962 743,815 790
36 EL-TARF,3 371,366 921,70 593,437 514,272 039
37 TINDOUF,148,26 560,1 160,27 720,13
38 TISSEMSILT,8 370,1 113 963,2 000,1 115 963,656 690
39 EL-OUED,3 100,1 083 860,69 500,1 153 360,718 060
40 KHENCHELA,4 428,802 771,68 270,871 041,624 461
41 SOUK-AHRAS,8 136,806 712,31 313,838 025,657 548
42 TIPAZA,2 096,323 095,349 463,672 558,386 289
43 MILA,9 778,977 750,168 200,1 145 950,850 000
44 AIN-DEFLA,6 769,981 110,168 614,1 149 724,876 113
45 NAAMA,2 067,553 538,10 547,564 085,215 213
46 A.TEMOUCHENT,5 124,606 305,525 090,1 131 395,713 669
47 GHARDAIA,1 880,192 338,204 842,397 180,193 420
48 RELIZANE,7 079,1 005 970,81 255,1 087 225,976 445
TOTAL ALGERIE,431 506,53 982 463,6 650 438,60 632 901,43 474 114
