0,1,2,3,4,5,6,7,8,9,10,11,12
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,,,,,,,SERIE B 2017
SUPERFICIE OCCUPEES PAR LES PLANTATIONS (Vigne non comprise),,,,,,,,,,,,
WILAYA,OLIVIERS,,PALMIERS,,AGRUMES,,FIGUIERS,,ESPECES A,,SUPERFICIE,
,,,DATTIERS,,,,,,NOYAUX ET / OU,,TOTALE,
,,,,,,,,,A PEPINS,,,
,ha,%,ha,%,ha,%,ha,%,ha,%,ha,%
1 ADRAR,0,"0,0",28 327,"100,0",0,"0,0",0,"0,0",0,"0,0",28 327,100
2 CHLEF,4 343,"30,4",0,"0,0",6 124,"42,9",1 136,"8,0",2 677,"18,7",14 279,100
3 LAGHOUAT,2 342,"35,6",285,"4,3",8,"0,1",201,"3,1",3 744,"56,9",6 580,100
4 O.E.BOUAGHI,2 024,"66,4",0,0,0,"0,0",45,"1,5",982,"32,2",3 051,100
5 BATNA,11 646,"51,8",207,"0,9",0,"0,0",188,"0,8",10 425,"46,4",22 464,100
6 BEJAIA,56 369,"77,8",0,"0,0",2 005,"2,8",10 143,"14,0",3 941,"5,4",72 458,100
7 BISKRA,4 329,"8,5",43 317,"84,6",76,"0,1",464,"0,9",3 019,"5,9",51 206,100
8 BECHAR,1 345,"8,5",13 918,"87,8",44,"0,3",58,"0,4",496,"3,1",15 861,100
9 BLIDA,1 347,"4,6",0,"0,0",17 839,"61,3",687,"2,4",9 239,"31,7",29 112,100
10 BOUIRA,37 012,"85,2",0,"0,0",493,"1,1",1 909,"4,4",4 025,"9,3",43 438,100
11 TAMANRASSET,0,"0,0",6 753,"94,0",35,"0,5",30,"0,4",363,"5,1",7 181,100
12 TEBESSA,9 497,"72,9",805,"6,2",0,"0,0",223,"1,7",2 496,"19,2",13 021,100
13 TLEMCEN,15 468,"40,3",0,"0,0",2 676,"7,0",378,"1,0",19 867,"51,8",38 389,100
14 TIARET,8 450,"34,2",,"0,0",0,"0,0",1 093,"4,4",15 157,"61,4",24 700,100
15 TIZI-OUZOU,38 600,"79,9",0,"0,0",1 523,"3,2",5 855,"12,1",2 345,"4,9",48 323,100
16 ALGER,109,"1,0",0,"0,0",5 729,"52,9",59,"0,5",4 937,"45,6",10 833,100
17 DJELFA,11 797,"63,5",98,"0,5",0,"0,0",216,"1,2",6 467,"34,8",18 578,100
18 JIJEL,15 398,"82,8",0,"0,0",442,"2,4",108,"0,6",2 648,"14,2",18 596,100
