0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2019
VII-CULTURES MARAICHERES SOUS SERRES (1/4),,,,,,,,,
,,TOMATES,,,PIMENTS,,,POIVRONS,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(QX),qx/ha,(ha),(QX),qx/ha,(ha),(qx),qx/ha
1 ADRAR,"7,10",3 976,"560,0","19,97",5 900,"295,5","7,29",2 940,"403,3"
2 CHLEF,"242,20",217 174,"896,7","5,00",834,"166,8","33,26",9 024,"271,3"
3 LAGHOUAT,"0,00",0,0,"0,00",0,0,"0,00",0,0
4 O.E.BOUAGHI,"0,00",0,0,"0,00",0,0,"0,00",0,0
5 BATNA,"1,78",732,"411,2","1,63",945,"579,8","0,59",547,"927,1"
6 BEJAIA,"20,93",15 684,"749,4","16,76",4 956,"295,7","12,10",4 195,"346,7"
7 BISKRA,"2 505,00",3 664 280,"1 462,8","1 550,00",1 175 400,"758,3","1 120,00",839 600,"749,6"
8 BECHAR,"0,72",461,"640,3","0,08",15,"187,5","0,16",50,"312,5"
9 BLIDA,"0,00",0,0,"0,16",380,"2 375,0","0,16",320,"2 000,0"
10 BOUIRA,"0,00",0,0,"0,00",0,0,"0,00",0,0
11 TAMANRASSET,"6,65",2 825,"424,8","2,82",1 001,"355,0","2,61",1 117,"427,9"
12 TEBESSA,"0,60",450,"750,0","0,60",180,"300,0","0,00",0,0
13 TLEMCEN,"95,00",90 300,"950,5","2,00",800,"400,0","85,00",70 000,"823,5"
14 TIARET,"0,00",0,0,"0,00",0,0,"0,00",0,0
15 TIZI-OUZOU,"3,72",3 974,"1 068,3","7,09",3 495,"492,9","0,89",480,"539,3"
16 ALGER,"173,22",183 570,"1 059,8","32,58",12 085,"370,9","64,58",25 945,"401,7"
17 DJELFA,"4,60",3 160,"687,0","1,60",420,"262,5","2,40",850,"354,2"
18 JIJEL,"183,59",202 548,"1 103,3","137,94",112 896,"818,4","197,32",172 075,"872,1"
19 SETIF,"5,70",616,"108,1","172,20",180 319,"1 047,1","229,24",242 364,"1 057,3"
20 SAIDA,"0,00",0,0,"0,00",0,0,"0,00",0,0
21 SKIKDA,"8,30",4 985,"600,6","3,04",1 366,"449,3","5,08",2 517,"495,4"
22 S.B.ABBES,"0,00",0,0,"0,00",0,0,"0,00",0,0
23 ANNABA,"0,00",0,0,"0,00",0,0,"0,00",0,0
24 GUELMA,"0,00",0,0,"0,00",0,0,"0,00",0,0
25 CONSTANTINE,"0,38",350,"921,1","0,00",0,0,"0,00",0,0
26 MEDEA,"0,00",0,0,"0,00",0,0,"0,00",0,0
27 MOSTAGANEM,"340,50",289 425,"850,0","74,00",33 300,"450,0","305,50",183 300,"600,0"
28 M'SILA,"55,00",66 000,"1 200,0","71,50",46 475,"650,0","27,00",21 600,"800,0"
29 MASCARA,"3,00",1 400,"466,7","0,25",60,"240,0","2,75",1 420,"516,4"
30 OUARGLA,"21,26",14 031,"660,0","15,86",5 127,"323,2","8,68",3 531,"406,7"
31 ORAN,"38,08",33 014,"867,0","1,92",528,"275,0","5,56",2 328,"418,7"
32 EL-BAYADH,"0,00",0,0,"0,00",0,0,"0,00",0,0
33 ILLIZI,"2,04",306,"150,0","0,68",102,"150,0","0,64",96,"150,0"
34 B.B.ARRERIDJ,"0,00",0,0,0,0,0,"0,00",0,0
35 BOUMERDES,"188,73",172 662,"914,9","47,59",25 938,"545,0","60,74",27 786,"457,5"
36 EL-TARF,"1,00",1 240,"1 240,0","0,00",0,0,"0,04",38,"950,0"
37 TINDOUF,"3,60",3 240,"900,0","2,28",1 140,"500,0","1,80",900,"500,0"
38 TISSEMSILT,"0,00",0,0,"0,00",0,0,"0,00",0,0
39 EL-OUED,"67,00",67 000,"1 000,0","100,00",50 000,"500,0","53,00",26 500,"500,0"
40 KHENCHELA,"80,00",100 000,"1 250,0","30,00",30 000,"1 000,0","27,00",21 500,"796,3"
41 SOUK-AHRAS,"0,00",0,0,"0,00",0,0,"0,00",0,0
42 TIPAZA,"503,28",522 563,"1 038,3","95,64",45 746,"478,3","180,80",99 317,"549,3"
43 MILA,"4,44",2 756,"620,7","0,52",306,"588,5","1,76",1 056,"600,0"
44 AIN-DEFLA,"125,84",76 254,"606,0","4,55",1 975,"434,1","8,70",3 680,"423,0"
45 NAAMA,"0,00",0,0,"0,00",0,0,"0,00",0,0
46 A.TEMOUCHENT,"51,14",40 684,"795,5","0,84",252,"300,0","14,12",6 060,"429,2"
47 GHARDAIA,"2,70",1 080,"400,0","1,00",400,"400,0","1,00",400,"400,0"
48 RELIZANE,"0,00",0,0,"0,00",0,0,"0,00",0,0
TOTAL ALGERIE,"4 747,10",5 786 740,"1 219,0","2 400,10",1 742 341,"725,9","2 459,77",1 771 536,"720,2"
