0,1
WILAYA,Superficie Deglet nour (Dattes Ghers  et Degla Beida et Total  Palmier-
,occupée fines) Analogues Analogues (Dattes  dattier
,(Dattes molles) sèches)
,ha Nbre d'arbre Nbre d'arbre Nbre d'arbre Nbre d'arbre
1 ADRAR,28 320 0 0 3 798 759 3 798 759
3 LAGHOUAT,265 10 240 12 740 10 260 33 240
5 BATNA,207 9 338 7 453 9 681 26 472
7 BISKRA,43 851 2 756 137 569 690 1 099 040 4 424 867
8 BECHAR,13 919 0 1 406 138 234 626 1 640 764
11 TAMANRASSET,7 118 0 0 752 310 752 310
12 TEBESSA,569 38 200 22 400 0 60 600
17 DJELFA,260 19 300 5 400 1 300 26 000
28 M'SILA,0 0 0 0 0
30 OUARGLA,22 512 1 435 032 1 018 559 175 223 2 628 814
32 EL-BAYADH,477 3 600 15 900 28 200 47 700
33 ILLIZI,1 254 7 758 77 585 43 760 129 103
37 TINDOUF,464 30 44 511 1 809 46 350
39 EL-OUED,38 147 2 556 875 742 160 676 895 3 975 930
40 KHENCHELA,812 51 400 70 100 11 542 133 042
45 NAAMA,253 2 000 39 788 0 41 788
47 GHARDAIA,11 359 563 249 239 699 494 562 1 297 510
TOTAL ALGERIE,169 786 7 453 159 4 272 123 7 337 967 19 063 249
PALMIERS  DATTIERS (2/3),
Nombre  de palmiers en rapport,
WILAYA,Deglet nour (Dattes Ghers  et Analogues Degla Beida et Analogues Total  Palmier-dattier
,fines) (Dattes molles) (Dattes  sèches)
,Nbre d'arbre Nbre d'arbre Nbre d'arbre Nbre d'arbre
1 ADRAR,0 0 2 825 633 2 825 633
3 LAGHOUAT,9 240 12 740 10 260 32 240
5 BATNA,8 938 7 453 9 221 25 612
7 BISKRA,2 690 000 559 800 1 096 000 4 345 800
8 BECHAR,0 813 096 182 230 995 326
11 TAMANRASSET,0 0 643 120 643 120
12 TEBESSA,21 660 18 350 0 40 010
17 DJELFA,13 700 3 000 1 300 18 000
28 M'SILA,0
30 OUARGLA,1 258 489 942 006 152 161 2 352 656
32 EL-BAYADH,2 100 8 000 11 800 21 900
33 ILLIZI,2 362 40 123 24 613 67 098
37 TINDOUF,0 40 147 1 306 41 453
39 EL-OUED,2 463 624 723 177 632 647 3 819 448
40 KHENCHELA,44 300 62 100 11 342 117 742
45 NAAMA,1 450 20 428 0 21 878
47 GHARDAIA,471 997 180 407 488 592 1 140 996
TOTAL ALGERIE,6 987 860 3 430 827 6 090 225 16 508 912
