0,1,2,3,4
WILAYA,Deglet nour (Dattes,Ghers  et Analogues,Degla Beida et Analogues,Total  Palmier-dattier
,fines),(Dattes molles),(Dattes  sèches),
,Nbre d'arbre,Nbre d'arbre,Nbre d'arbre,Nbre d'arbre
1 ADRAR,0,0,2 825 633,2 825 633
3 LAGHOUAT,9 240,12 740,10 260,32 240
5 BATNA,8 938,7 453,9 221,25 612
7 BISKRA,2 690 000,559 800,1 096 000,4 345 800
8 BECHAR,0,813 096,182 230,995 326
11 TAMANRASSET,0,0,643 120,643 120
12 TEBESSA,21 660,18 350,0,40 010
17 DJELFA,13 700,3 000,1 300,18 000
28 M'SILA,,,,0
30 OUARGLA,1 258 489,942 006,152 161,2 352 656
32 EL-BAYADH,2 100,8 000,11 800,21 900
33 ILLIZI,2 362,40 123,24 613,67 098
37 TINDOUF,0,40 147,1 306,41 453
39 EL-OUED,2 463 624,723 177,632 647,3 819 448
40 KHENCHELA,44 300,62 100,11 342,117 742
45 NAAMA,1 450,20 428,0,21 878
47 GHARDAIA,471 997,180 407,488 592,1 140 996
TOTAL ALGERIE,6 987 860,3 430 827,6 090 225,16 508 912
