0,1,2,3,4,5,6
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,SERIE B 2017
VIII-POMMES DE TERRE (arrière saison et total) (2/2),,,,,,
,,ARRIERE SAISON,,,TOTAL,
WILAYA,Superficie,Production,Rendement,Superficie,Production,Rendement
,(ha),(QX),qx/ha,(ha),(QX),qx/ha
1 ADRAR,0,0,0,451,87 745,"194,6"
2 CHLEF,2 132,589 510,"276,5",4 342,1 265 090,"291,4"
3 LAGHOUAT,73,18 250,"250,0",2 276,687 500,"302,1"
4 O.E.BOUAGHI,125,18 737,"149,9",283,73 237,"258,8"
5 BATNA,649,184 530,"284,3",1 390,421 420,"303,2"
6 BEJAIA,43,6 800,"158,1",295,57 780,"195,9"
7 BISKRA,120,26 500,"220,8",220,47 400,"215,5"
8 BECHAR,96,16 780,"175,7",111,19 940,"180,5"
9 BLIDA,38,7 280,"192,7",628,301 080,"479,6"
10 BOUIRA,2 933,853 052,"290,8",6 215,2 031 714,"326,9"
11 TAMANRASSET,12,2 000,"166,7",27,4 689,"173,7"
12 TEBESSA,0,0,0,2 540,920 000,"362,2"
13 TLEMCEN,2 010,501 900,"249,7",5 283,1 543 400,"292,1"
14 TIARET,1 300,338 000,"260,0",5 364,1 469 312,"273,9"
15 TIZI-OUZOU,192,52 265,"272,9",747,219 475,"293,9"
16 ALGER,45,13 685,"307,5",1 069,432 630,"404,9"
17 DJELFA,1 000,231 100,"231,1",3 000,721 300,"240,4"
18 JIJEL,40,8 650,"216,3",520,106 430,"204,7"
19 SETIF,65,16 500,"253,8",1 964,541 543,"275,7"
20 SAIDA,851,189 626,"222,8",3 206,893 066,"278,6"
21 SKIKDA,1 253,302 875,"241,7",5 959,1 581 175,"265,3"
22 S.B.ABBES,585,134 200,"229,4",2 404,538 170,"223,9"
23 ANNABA,9,2 500,"277,8",95,38 600,"406,3"
24 GUELMA,1 139,364 561,"320,1",1 377,434 311,"315,4"
25 CONSTANTINE,34,11 200,"329,4",167,32 800,"196,4"
26 MEDEA,891,168 730,"189,4",2 189,550 825,"251,6"
27 MOSTAGANEM,3 775,908 660,"240,7",14 289,4 471 604,"312,9"
28 M'SILA,150,42 000,"280,0",480,134 400,"280,0"
29 MASCARA,5 826,1 509 200,"259,0",12 437,3 552 500,"285,6"
30 OUARGLA,1 462,446 522,"305,5",1 595,485 234,"304,2"
31 ORAN,29,6 985,"240,9",122,34 418,"282,7"
32 EL-BAYADH,490,154 960,"316,2",936,283 667,"303,1"
33 ILLIZI,1,75,"150,0",1,75,"150,0"
34 B.B.ARRERIDJ,26,6 250,"240,4",73,14 650,"200,7"
35 BOUMERDES,210,50 400,"240,0",2 928,904 420,"308,9"
36 EL-TARF,150,41 500,"276,7",580,200 300,"345,3"
37 TINDOUF,4,590,"147,5",4,590,"147,5"
38 TISSEMSILT,81,9 740,"120,2",148,22 070,"149,1"
39 EL-OUED,24 000,7 680 000,"320,0",35 000,11 530 000,"329,4"
40 KHENCHELA,29,5 620,"193,8",93,16 170,"173,9"
41 SOUK-AHRAS,75,20 250,"270,0",476,105 900,"222,5"
42 TIPAZA,538,131 560,"244,5",1 960,648 650,"330,9"
43 MILA,197,58 770,"298,3",1 687,675 210,"400,2"
44 AIN-DEFLA,10 000,3 047 643,"304,8",20 000,6 879 365,"344,0"
45 NAAMA,183,37 863,"206,9",389,78 205,"201,0"
46 A.TEMOUCHENT,71,22 260,"313,5",242,73 190,"302,4"
47 GHARDAIA,150,39 900,"266,0",164,44 100,"268,9"
48 RELIZANE,1 219,343 035,"281,5",3 100,888 675,"286,7"
TOTAL ALGERIE,64 298,18 623 014,"289,6",148 822,46 064 024,"309,5"
