0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2016
VII- ENSEMBLE DES CULTURES MARAÎCHERES (1/7),,,,,,,,,
(Y compris de primeur et sous serres),,,,,,,,,
,,POMMES DE TERRE,,,TOMATES,,,OIGNONS,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(QX),qx/ha,(ha),(QX),qx/ha,(ha),(qx),qx/ha
1 ADRAR,361,54 310,"150,6",1 020,222 914,"218,6",670,107 702,"160,7"
2 CHLEF,4 290,1 295 530,"302,0",891,815 600,"915,1",212,100 000,"472,8"
3 LAGHOUAT,2 247,561 750,"250,0",350,105 000,"300,0",883,158 940,"180,0"
4 O.E.BOUAGHI,479,93 940,"196,1",260,51 032,"196,5",207,44 872,"217,3"
5 BATNA,2 686,832 635,"310,0",511,117 300,"229,5",1 018,246 474,"242,1"
6 BEJAIA,320,59 230,"185,4",256,63 210,"247,4",587,92 430,"157,6"
7 BISKRA,210,61 240,"291,6",2 189,3 071 910,"1 403,3",2 330,442 100,"189,7"
8 BECHAR,117,22 877,"196,4",211,38 777,"183,9",420,99 600,"237,1"
9 BLIDA,735,271 410,"369,3",107,53 740,"503,7",150,19 740,"131,8"
10 BOUIRA,6 235,2 131 289,"341,8",149,32 994,"221,4",520,59 522,"114,4"
11 TAMANRASSET,55,8 352,"153,2",134,27 127,"202,4",175,21 096,"120,3"
12 TEBESSA,2 525,876 750,"347,2",162,23 950,"147,8",250,37 600,"150,4"
13 TLEMCEN,6 385,2 106 500,"329,9",980,663 600,"677,1",1 225,314 030,"256,4"
14 TIARET,5 749,1 584 500,"275,6",350,98 000,"280,0",3 650,2 030 000,"556,2"
15 TIZI-OUZOU,938,228 353,"243,4",156,36 950,"237,4",1 068,123 473,"115,6"
16 ALGER,1 516,591 620,"390,3",1 168,658 165,"563,5",139,31 320,"226,1"
17 DJELFA,2 728,616 520,"226,0",196,29 200,"149,0",2 797,1 010 550,"361,3"
18 JIJEL,556,109 665,"197,4",449,293 265,"653,4",795,124 944,"157,2"
19 SETIF,2 244,631 175,"281,3",705,224 030,"317,9",577,109 315,"189,5"
20 SAIDA,2 718,771 185,"283,8",256,100 910,"394,2",1 193,681 710,"571,4"
21 SKIKDA,5 656,2 077 705,"367,4",546,153 000,"280,2",4 485,1 419 460,"316,5"
22 S.B.ABBES,2 274,587 490,"258,4",242,129 990,"537,1",542,113 180,"208,8"
23 ANNABA,103,34 120,"332,9",0,0,0,259,33 820,"130,6"
24 GUELMA,1 903,505 105,"265,4",214,79 440,"371,2",1 193,385 771,"323,4"
25 CONSTANTINE,194,39 165,"202,4",17,3 190,"193,3",429,65 727,"153,1"
26 MEDEA,2 296,614 865,"267,8",511,100 410,"196,5",1 014,139 287,"137,4"
27 MOSTAGANEM,12 771,3 715 730,"291,0",1 717,1 031 064,"600,7",1 711,469 845,"274,6"
28 M'SILA,580,185 000,"319,0",388,240 800,"620,6",1 500,481 000,"320,7"
29 MASCARA,12 500,3 633 000,"290,6",286,80 210,"280,5",3 800,2 090 000,"550,0"
30 OUARGLA,1 938,569 200,"293,7",187,29 402,"157,3",393,54 174,"137,8"
31 ORAN,243,68 175,"281,1",183,59 343,"324,8",46,6 730,"146,3"
32 EL-BAYADH,977,277 890,"284,4",73,15 709,"216,7",301,136 950,"455,7"
33 ILLIZI,2,233,"150,0",11,1 179,"109,9",67,6 723,"100,0"
34 B.B.ARRERIDJ,151,30 800,"204,0",137,20 985,"153,2",480,81 730,"170,3"
35 BOUMERDES,3 740,1 207 590,"322,9",647,379 800,"587,0",4 410,1 257 200,"285,1"
36 EL-TARF,529,200 520,"379,1",5,500,"100,0",1 555,265 430,"170,7"
37 TINDOUF,7,1 050,"150,0",9,6 572,"723,8",14,3 540,"252,9"
38 TISSEMSILT,143,21 955,"153,5",39,1 414,"36,7",117,17 163,"147,0"
39 EL-OUED,34 000,10 956 000,"322,2",2 520,1 785 000,"708,3",1 400,417 000,"297,9"
40 KHENCHELA,111,19 305,"174,3",177,39 186,"221,4",347,45 710,"131,9"
41 SOUK-AHRAS,900,237 000,"263,3",550,181 500,"330,0",1 000,156 800,"156,8"
42 TIPAZA,2 479,727 945,"293,6",1 607,883 860,"550,0",833,179 830,"215,9"
43 MILA,1 856,786 030,"423,5",142,43 200,"305,3",522,148 170,"284,1"
44 AIN-DEFLA,21 663,6 436 146,"297,1",474,365 000,"770,0",1 375,784 550,"570,6"
45 NAAMA,562,119 904,"213,5",192,38 301,"199,5",547,107 679,"196,9"
46 A.TEMOUCHENT,316,92 890,"294,0",846,309 370,"365,7",1 699,354 440,"208,6"
47 GHARDAIA,119,32 680,"274,6",55,8 186,"148,8",675,124 440,"184,4"
48 RELIZANE,5 209,1 510 443,"290,0",286,91 417,"320,2",320,58 100,"181,8"
TOTAL ALGERIE,156 308,47 596 766,"304,5",22 556,12 805 702,"567,7",49 896,15 259 866,"305,8"
