0,1,2,3,4,5,6,7
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,SERIE B 2019
"III)- OLIVIERS, OLIVES ET HUILES 2/2",,,,,,,
,,Production d'olive,,Rendement,,Production,Rendement
WILAYA,pour la conserve,pour l'huile,Total Prod.  Olives,d'olive,,d'huile,d'huile
,Qx,Qx,Qx,Kg/arbre,,Hl,Litres/quintal
1 ADRAR,0,0,0,,0,0,0
2 CHLEF,25 863,51 633,77 496,,"12,4",7 233,"14,0"
3 LAGHOUAT,32 460,21 640,54 100,,"25,0",0,"0,0"
4 O.E.BOUAGHI,1 749,17 528,19 277,,"12,4",2 808,"16,0"
5 BATNA,196 070,259 875,455 945,,"26,0",46 063,"17,7"
6 BEJAIA,482,889 851,890 333,,"20,0",194 713,"21,9"
7 BISKRA,123 540,52 950,176 490,,"26,1",7 408,"14,0"
8 BECHAR,5 473,4 489,9 962,,"6,2",462,"10,3"
9 BLIDA,23 714,41 350,65 064,,"24,1",6 203,"15,0"
10 BOUIRA,2 490,429 952,432 442,,"16,0",92 440,"21,5"
11 TAMANRASSET,0,0,0,,0,0,0
12 TEBESSA,9 400,61 200,70 600,,"7,0",10 424,"17,0"
13 TLEMCEN,300 000,450 000,750 000,,"35,0",81 000,"18,0"
14 TIARET,34 000,30 000,64 000,,"10,5",3 900,"13,0"
15 TIZI-OUZOU,0,504 208,504 208,,"15,0",103 074,"20,4"
16 ALGER,1 828,3 488,5 316,,"13,7",501,"14,4"
17 DJELFA,23 250,316 550,339 800,,"13,9",46 010,"14,5"
18 JIJEL,480,555 379,555 859,,"26,4",109 791,"19,8"
19 SETIF,830,340 219,341 050,,"14,9",69 717,"20,5"
20 SAIDA,112 078,38 020,150 098,,"20,9",4 460,"11,7"
21 SKIKDA,0,222 732,222 732,,"17,0",35 650,"16,0"
22 S.B.ABBES,163 072,60 752,223 824,,"39,1",8 506,"14,0"
23 ANNABA,2 096,12 569,14 665,,"19,1",2 188,"17,4"
24 GUELMA,0,72 275,72 275,,"14,0",11 641,"16,1"
25 CONSTANTINE,4 295,7 085,11 380,,"8,2",961,"13,6"
26 MEDEA,18 088,39 435,57 523,,"15,1",5 289,"13,4"
27 MOSTAGANEM,212 252,0,212 252,,"24,6",0,0
28 M'SILA,46 046,127 169,173 215,,"12,2",21 388,"16,8"
29 MASCARA,770 550,23 700,794 250,,"53,4",2 870,"12,1"
30 OUARGLA,3 480,4 977,8 457,,"17,2",686,"13,8"
31 ORAN,142 370,10 223,152 593,,"14,7",1 588,"15,5"
32 EL-BAYADH,2 928,12 954,15 882,,"9,6",1 926,"14,9"
33 ILLIZI,39,0,39,,"0,9",0,0
34 B.B.ARRERIDJ,17 733,364 583,382 316,,"21,7",72 718,"19,9"
35 BOUMERDES,747,36 556,37 303,,"4,6",5 688,"15,6"
36 EL-TARF,12 230,45 600,57 830,,"21,3",6 914,"15,2"
37 TINDOUF,0,0,0,,"0,0",0,0
38 TISSEMSILT,14 200,77 800,92 000,,"14,0",12 448,"16,0"
39 EL-OUED,22 820,23 500,46 320,,"6,5",2 800,"11,9"
40 KHENCHELA,2 844,92 847,95 691,,"15,3",18 511,"19,9"
41 SOUK-AHRAS,23 906,78 238,102 144,,"15,5",12 518,"16,0"
42 TIPAZA,11 335,30 909,42 244,,"10,9",4 375,"14,2"
43 MILA,22 445,116 044,138 489,,"16,3",20 043,"17,3"
44 AIN-DEFLA,108 001,82 000,190 001,,"21,7",8 270,"10,1"
45 NAAMA,1 195,6 863,8 058,,"3,7",889,"13,0"
46 A.TEMOUCHENT,55 701,61 867,117 568,,"16,5",8 049,"13,0"
47 GHARDAIA,20 818,5 000,25 818,,"13,3",418,"8,4"
48 RELIZANE,424 543,6 090,430 633,,"44,1",693,"11,4"
TOTAL ALGERIE,2 997 441,5 690 100,8 687 541,,"20,0",1 053 234,"18,5"
